WARNING  : Скважина 1034/1 (id - 69350) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20892/1 (id - 83733) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14822/1 (id - 55941) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3105д/1 (id - 74052) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20994/1 (id - 58311) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32485/1 (id - 6445) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32753/1 (id - 63975) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21155/1 (id - 82100) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 27008/2 (id - 88183) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 21449/1 (id - 6636) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 11219/1 (id - 74774) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32306/1 (id - 57413) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20836/2 (id - 89742) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32043/1 (id - 57156) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14942/1 (id - 48192) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20671/1 (id - 73455) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20253/1 (id - 89487) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10857/1 (id - 60417) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32443/2 (id - 59018) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 14992/1 (id - 6191) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 5878/1 (id - 60433) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 11202/1 (id - 73611) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32401/1 (id - 48123) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 9589/1 (id - 47822) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14880/1 (id - 86372) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20362/1 (id - 78913) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 270/1 (id - 73244) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20638/1 (id - 57701) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
